Titel,Auteur,Tags,Locatie,Goodreads Link,Graad,ISBN,Link coverafbeelding
Een eiland in zee,Annika Thor,"historisch, vriendschap, verlies",Boektoppers,https://www.goodreads.com/book/show/10059527,Eerste graad,9789056372415,
De hardloper,Cynthia Voigt,"coming of age, sport, verlies",Nederlandstalige fictie,https://www.goodreads.com/book/show/10077109,Tweede graad,9789021486222,
Zwart water,Kerstin Ekman,"misdaad, mysterie, spanning, bekroond",Nederlandstalige fictie,https://www.goodreads.com/book/show/10111804,Derde graad,9789035114067,
Ansichten,Annie Proulx,"historisch, kortverhalen, identiteit, vriendschap, coming of age",Nederlandstalige fictie,https://www.goodreads.com/book/show/10319142,Derde graad,9789052262970,
De maan is een spelbreker,Jon Ewo,"spanning, psychologisch, drama",Nederlandstalige fictie,https://www.goodreads.com/book/show/10329623,Tweede graad,9789059080300,
De keuze,Karel Verleyen,"historisch, oorlog, verlies",Nederlandstalige fictie,https://www.goodreads.com/book/show/10386045,Tweede graad,9789065659903,
Spot uit,René Swartenbroekx,"humor, school, vriendschap",Boektoppers,https://www.goodreads.com/book/show/10401298,Eerste graad,9789031714605,
Laarzen voor de doden,Robert Swindells,"historisch, oorlog, spanning",Nederlandstalige fictie,https://www.goodreads.com/book/show/104601634,Tweede graad,9789065656728,
Onder de sneeuw,Kerstin Ekman,"spanning, mysterie, verlies",Nederlandstalige fictie,https://www.goodreads.com/book/show/104603704,Derde graad,9789035118966,
De zomer waarin alles veranderde,Jenny Han,"coming of age, romance, identiteit",Boektoppers,https://www.goodreads.com/book/show/10467092,Tweede graad,9789048805693,
Het Lazarusplan,Karel Smolders,"spanning, misdaad, mysterie",Nederlandstalige fictie,https://www.goodreads.com/book/show/10472623,Derde graad,9789044803860,
Alle kleuren grijs,Kathleen Vereecken,"historisch, familie",Nederlandstalige fictie,https://www.goodreads.com/book/show/104889948,Eerste graad,9789002205941,
Inkt,Katrien Vervaele,"spanning, mysterie, psychologisch",Nederlandstalige fictie,https://www.goodreads.com/book/show/104929857,Tweede graad,9789020940909,
Dwaalgast,Unknown Author,"mysterie, spanning, drama",Nederlandstalige fictie,https://www.goodreads.com/book/show/104930544,Tweede graad,9789020958751,
Lily's leugen,Unknown Author,"familie, mysterie, drama",Nederlandstalige fictie,https://www.goodreads.com/book/show/104934346,Eerste graad,9789021463926,
Laat me met rust,Unknown Author,"familie, drama, verlies",Nederlandstalige fictie,https://www.goodreads.com/book/show/104934479,Eerste graad,9789021477930,
Kleine Cecilia,Kathleen Vereecken,"familie, verlies, drama",Nederlandstalige fictie,https://www.goodreads.com/book/show/104934546,Eerste graad,9789021484990,
Ik zal voor je zingen,Geertje Gort,"familie, verlies, drama",Nederlandstalige fictie,https://www.goodreads.com/book/show/104958787,Eerste graad,9789025835545,
